resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility,release_date
AIHE-C03,Integrated Institutional-Risk Review,10,docx; xlsx; csv; json; md; mmd; svg; png,"Review ethics, equity, privacy, cybersecurity, safety, continuity, trust, legal, and economic risks as one institutional system.",V1.0,public,"10, 12",chapters/10/core/AIHE-C03,"Governance, Accountability, and Institutional Risk",AIHE-C; AIHE-AB; AIHE-AC; AIHE-N; AIHE-G,Core,AIHE-C; AIHE-AB; AIHE-AC; AIHE-N; AIHE-G,yes,docs/forms/AIHE-C03/index.html,yes,docs/process/resources/AIHE-C03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 10; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Evaluate and govern institutional risk,default,2026-09-02
AIHE-C05,Public Transparency and Communication Record,10,docx; xlsx; csv; json; md; mmd; svg; png,"Define accurate, accessible communication about intended use, limitations, oversight, data, complaints, incidents, and alternatives.",V1.0,public,"3, 10, 12",chapters/10/core/AIHE-C05,"Governance, Accountability, and Institutional Risk",AIHE-EX13,Core,AIHE-EX13,yes,docs/forms/AIHE-C05/index.html,yes,docs/process/resources/AIHE-C05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 10; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Communicate publicly and transparently,default,2026-09-02
AIHE-RG04,"Regulatory, Standards, and Policy Update Register",10,docx; xlsx; csv; json; md,"Maintain date-stamped records for European, Romanian, and global legal, policy, standards, reimbursement, and guidance sources whose scope or implementation status may change.",V1.0,public,"2, 5, 7, 9, 10, 12-15",chapters/10/guides/AIHE-RG04,"Governance, Accountability, and Institutional Risk",,Reference guide,,yes,docs/forms/AIHE-RG04/index.html,yes,docs/process/resources/AIHE-RG04.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 10 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-CASE10,Patient-Facing Chatbot Institutional-Risk Review,10,md; csv; json; xlsx,"Which uses can be permitted when convenience and call reduction coexist with privacy, safety, equity, and communication risks?",V1.0,public,10,worked_examples/CASE10_chatbot_risk,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-C; AIHE-AB; AIHE-AC; AIHE-C05; AIHE-EX13; AIHE-PY07; AIHE-PY08; AIHE-PY26,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 10 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY07,Feature importance and partial-dependence exploration,10,py; ipynb; xlsx; csv; json; png; md,"Fits a tree ensemble, calculates permutation importance, and visualizes the relationship between the top feature and predicted risk.",V1.0,public,"3, 10, 11",chapters/10/py/PY07_feature_importance,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY08,Subgroup performance and equity audit,10,py; ipynb; xlsx; csv; json; png; md,"Compares AUC, calibration, sensitivity, specificity, predictive values, and selection rates across population groups.",V1.0,public,"7, 10, 11, 15",chapters/10/py/PY08_equity_audit,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY26,"Integrated privacy, cybersecurity, equity, safety, and trust risk register",10,py; ipynb; xlsx; csv; json; png; md,"Scores inherent and residual risk, checks mitigation completeness, prioritizes overdue actions, and produces an accountable risk dashboard.",V1.0,public,"10, 12",chapters/10/py/PY26_risk_register,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-AB,Privacy and Cybersecurity Risk Register,10,docx; xlsx; csv; json; md; mmd; svg; png,"Record privacy, security, continuity, supplier, model, and incident risks with controls, owners, and review dates.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-AB,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AB.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-AC,Equity Impact Tool,10,docx; xlsx; csv; json; md; mmd; svg; png,"Identify affected groups, barriers, harms, mitigations, costs, residual concerns, and monitoring indicators.",V1.0,optional,"7,10,12,15",chapters/10/core/AIHE-C03/supp/AIHE-AC,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AC.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-C,Ethical Governance Checklist for Healthcare AI,10,docx; xlsx; csv; json; md; mmd; svg; png,"Translate autonomy, safety, transparency, fairness, oversight, accountability, and public value into evidence and action.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-C,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-C.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX13,Public Transparency and Communication Notice,10,docx; xlsx; csv; json; md; mmd; svg; png,"Explain AI use, limits, human oversight, data handling, accessibility, questions, complaints, incidents, and human alternatives.",V1.0,optional,"3,10,12",chapters/10/core/AIHE-C05/supp/AIHE-EX13,"Governance, Accountability, and Institutional Risk",AIHE-C05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX13.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-G,Sample Health-System AI Governance Charter,10,docx; xlsx; csv; json; md; mmd; svg; png,"Establish a health-system governance charter covering purpose, scope, membership, evidence, decisions, monitoring, incidents, updates, and de-adoption.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-G,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-G.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-N,"Trust, Equity, and Public Value Workbook",10,docx; xlsx; csv; json; md; mmd; svg; png,"Integrate trust-adjusted value, distributional effects, mitigation, public value, confidence, and mandatory safeguards.",V1.0,optional,"1,7,10,12",chapters/10/core/AIHE-C03/supp/AIHE-N,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-N.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-RG02,Reporting and Appraisal Tool Selection Guide,11,docx; xlsx; csv; json; md,"Match evidence type and study stage to current reporting and appraisal instruments without treating checklist completion as proof of validity, effectiveness, or regulatory conformity.",V1.0,public,"7, 8, 11",chapters/11/guides/AIHE-RG02,"Evidence, Validation, and Real-World Evaluation",,Reference guide,,yes,docs/forms/AIHE-RG02/index.html,yes,docs/process/resources/AIHE-RG02.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 11 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-RG06,Diagnostic and Predictive Evidence Appraisal Checklist,11,docx; xlsx; csv; json; md,"Appraise reference standards, index tests, data partitions, calibration, diagnostic accuracy, bias, subgroup performance, clinical utility, and downstream resource consequences.",V1.0,public,"3, 7, 8, 11",chapters/11/guides/AIHE-RG06,"Evidence, Validation, and Real-World Evaluation",,Reference guide,,yes,docs/forms/AIHE-RG06/index.html,yes,docs/process/resources/AIHE-RG06.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 11 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-CASE11,Local Validation and Causal Evaluation of a Readmission Model,11,md; csv; json; xlsx,"Does local performance and observed service change support adoption, and what can reasonably be attributed to the AI-enabled pathway?",V1.0,public,11,worked_examples/CASE11_readmit_eval,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-EX05; AIHE-EX04; AIHE-V; AIHE-PY04; AIHE-PY05; AIHE-PY24; AIHE-PY30; AIHE-PY31; AIHE-PY32,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 11 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-EX05,Local Validation Report Template,11,docx; xlsx; csv; json; md; mmd; svg; png; html,"Document intended use, local cohort, exact system version, discrimination, calibration, threshold-specific performance, subgroup findings, workflow, clinical utility, uncertainty, and the resulting local decision.",V1.0,public,"3, 8, 11, 12",chapters/11/supp/AIHE-EX05,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-RG02; AIHE-RG06; AIHE-CASE11; AIHE-V,Supplemental specialist tool,,yes,docs/demos/AIHE-EX05/index.html,yes,docs/process/resources/AIHE-EX05.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 11,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Validate a system locally,advanced,2026-09-02
AIHE-PY04,Predictive model development: logistic regression and random forest,11,py; ipynb; xlsx; csv; json; png; md,"Builds two baseline classifiers, compares test performance, and exports predictions for later validation modules.",V1.0,public,"3, 11",chapters/11/py/PY04_model_dev,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY05,"Model performance, threshold trade-offs, and calibration",11,py; ipynb; xlsx; csv; json; png; md,"Calculates ROC AUC, Brier score, confusion-matrix measures across thresholds, calibration intercept and slope, and calibration bins.",V1.0,public,"3, 11",chapters/11/py/PY05_performance,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY24,Implementation evaluation with interrupted time series and control charts,11,py; ipynb; xlsx; csv; json; png; md,"Evaluates change after an AI implementation using segmented regression, run charts, control limits, uptake, and balancing measures.",V1.0,public,"4, 11",chapters/11/py/PY24_impl_eval,"Evidence, Validation, and Real-World Evaluation",AIHE-C01; AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY30,Random-effects meta-analysis and forest plot,11,py; ipynb; xlsx; csv; json; png; md,"Pools study-level effects using inverse-variance fixed and DerSimonian-Laird random-effects methods, quantifies heterogeneity, and creates forest and funnel plots.",V1.0,public,11,chapters/11/py/PY30_meta_analysis,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-RG02; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY31,Difference-in-differences evaluation,11,py; ipynb; xlsx; csv; json; png; md,Estimates the effect of AI implementation by comparing change over time in an intervention group with change in a comparison group.,V1.0,public,11,chapters/11/py/PY31_diff_in_diff,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY32,Time-to-event and survival analysis,11,py; ipynb; xlsx; csv; json; png; md,Estimates Kaplan-Meier survival curves and compares event timing between AI and comparator groups using a log-rank test.,V1.0,public,"7, 8, 11",chapters/11/py/PY32_survival,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-D02,"Lifecycle Decision State, Staged Evidence, and AI-HED Status",12,docx; xlsx; csv; json; md; mmd; svg; png,"Control increasing commitment through problem, readiness, evidence, local validation, economics, pilot, scale, renewal, and retirement gates.",V1.0,public,"4, 9, 11, 12",chapters/12/core/AIHE-D02,Decision Architecture and Lifecycle Governance,AIHE-Q; AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,Core,AIHE-Q; AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,yes,docs/forms/AIHE-D02/index.html,yes,docs/process/resources/AIHE-D02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Implement and monitor safely,default,2026-09-02
AIHE-D03,Post-Deployment Monitoring and Algorithmovigilance Cadence,12,docx; xlsx; csv; json; md; mmd; svg; png,"Define recurring and event-triggered surveillance across technical, workflow, safety, equity, economic, and contractual domains.",V1.0,public,"5, 11, 12",chapters/12/core/AIHE-D03,Decision Architecture and Lifecycle Governance,AIHE-S,Core,AIHE-S,yes,docs/forms/AIHE-D03/index.html,yes,docs/process/resources/AIHE-D03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Implement and monitor safely,default,2026-09-02
AIHE-D04,Incident Classification and Reconstruction,12,docx; xlsx; csv; json; md; mmd; svg; png,"Reconstruct technical, clinical, workflow, privacy, cybersecurity, equity, communication, and economic incidents consistently.",V1.0,public,"5, 10, 11, 12",chapters/12/core/AIHE-D04,Decision Architecture and Lifecycle Governance,AIHE-EX12,Core,AIHE-EX12,yes,docs/forms/AIHE-D04/index.html,yes,docs/process/resources/AIHE-D04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default,2026-09-02
AIHE-D05,"Material Change, Reauthorization, Renewal, Replacement, and Retirement Record",12,docx; xlsx; csv; json; md; mmd; svg; png,"Assess material changes and periodic renewal across system, data, workflow, vendor, price, law, evidence, alternatives, and exit.",V1.0,public,"9, 11, 12, 14",chapters/12/core/AIHE-D05,Decision Architecture and Lifecycle Governance,AIHE-EX11; AIHE-T; AIHE-J,Core,AIHE-EX11; AIHE-T; AIHE-J,yes,docs/forms/AIHE-D05/index.html,yes,docs/process/resources/AIHE-D05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default,2026-09-02
AIHE-RG01,Framework Status and Selection Guide,12,docx; xlsx; csv; json; md,"Distinguish legal instruments, standards, guidance, reporting guidelines, appraisal tools, implementation frameworks, and author-developed decision aids; select them according to function and authority.",V1.0,public,"2, 4, 5, 7, 9-12",chapters/12/guides/AIHE-RG01,Decision Architecture and Lifecycle Governance,,Reference guide,,yes,docs/forms/AIHE-RG01/index.html,yes,docs/process/resources/AIHE-RG01.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 12 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-CASE12,"Model Update, Incident Response, and Renewal Decision",12,md; csv; json; xlsx,"Should the organization continue, restrict, roll back, replace, or retire the system after a material update and operational incident?",V1.0,public,12,worked_examples/CASE12_update_renew,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-S; AIHE-EX11; AIHE-EX12; AIHE-PY09; AIHE-PY27; AIHE-PY29,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 12 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY09,Temporal validation and drift monitoring,12,py; ipynb; xlsx; csv; json; png; md,"Tracks discrimination, calibration error, score distribution, and feature drift across time periods.",V1.0,public,"11, 12",chapters/12/py/PY09_drift,Decision Architecture and Lifecycle Governance,AIHE-D03; AIHE-D05; AIHE-B05; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY27,"Algorithmovigilance, lifecycle cadence, drift, and incident monitoring",12,py; ipynb; xlsx; csv; json; png; md,"Monitors technical, clinical, workflow, equity, economic, and trust indicators against warning and stop thresholds over time.",V1.0,public,"5, 11, 12",chapters/12/py/PY27_monitoring,Decision Architecture and Lifecycle Governance,AIHE-D03; AIHE-D04; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY29,AI-HED completeness and institutional decision-quality audit,12,py; ipynb; xlsx; csv; json; png; md,"Checks whether a proposed AI decision dossier covers the problem, comparator, evidence, data, economics, ethics, implementation, monitoring, and exit requirements.",V1.0,public,12,chapters/12/py/PY29_decision_audit,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-AE,AI-HED Completeness and Decision-Quality Review,12,docx; xlsx; csv; json; md; mmd; svg; png,"Review dossier completeness, confidence, inconsistencies, mandatory safeguards, decision readiness, and remediation.",V1.0,optional,12,chapters/12/core/AIHE-D02/supp/AIHE-AE,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AE.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-E,Applied Case and Decision Review Template,12,docx; xlsx; csv; json; md; mmd; svg; png,Apply the book architecture to an institutional case and produce a defendable decision with conditions and lifecycle controls.,V1.0,optional,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",chapters/12/core/AIHE-D02/supp/AIHE-E,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-E.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX02,AI System Inventory and Policy Register,12,docx; xlsx; csv; json; md; mmd; svg; png,"Maintain a controlled inventory of proposed and deployed AI systems, owners, versions, risk levels, and review dates.",V1.0,optional,"9,10,12",chapters/12/core/AIHE-D02/supp/AIHE-EX02,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX02.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX10,Workflow Change and Training Competency Log,12,docx; xlsx; csv; json; md; mmd; svg; png,"Document role, workflow, training, competency, downtime, escalation, refresh, and adoption requirements.",V1.0,optional,"3,4,12",chapters/12/core/AIHE-D02/supp/AIHE-EX10,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX10.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX11,Material Change and Renewal Review,12,docx; xlsx; csv; json; md; mmd; svg; png,"Assess model, data, interface, workflow, vendor, contract, policy, performance, risk, and annual renewal changes.",V1.0,optional,"9,12,14",chapters/12/core/AIHE-D05/supp/AIHE-EX11,Decision Architecture and Lifecycle Governance,AIHE-D05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX11.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
